종목코드,종목명,시장,현재가,예측_5일후_등락률(%)
096350,대창솔루션,KOSDAQ,2335,0.3
134060,이퓨쳐,KOSDAQ,4070,0.29
037230,한국팩키지,KOSDAQ,1955,0.28
083650,비에이치아이,KOSDAQ,52300,0.28
072950,빛샘전자,KOSDAQ,5280,0.28
097780,에코볼트,KOSDAQ,880,0.27
011155,CJ씨푸드1우,KOSPI,16400,0.27
234920,자이글,KOSDAQ,5310,0.25
012510,더존비즈온,KOSPI,85600,0.24
008490,서흥,KOSPI,21650,0.24
083550,케이엠,KOSDAQ,3385,0.23
079370,제우스,KOSDAQ,14760,0.22
030000,제일기획,KOSPI,21000,0.21
291810,핀텔,KOSDAQ,2300,0.21
079550,LIG디펜스앤에어로스페이스,KOSPI,421000,0.2
078860,스테이지원엔터,KOSDAQ,1057,0.2
039010,현대에이치티,KOSDAQ,9180,0.2
009440,KC그린홀딩스,KOSPI,756,0.19
250930,예선테크,KOSDAQ,491,0.19
005930,삼성전자,KOSPI,119900,0.19
049830,승일,KOSDAQ,8600,0.16
046310,백금T&A,KOSDAQ,3525,0.16
036010,아비코전자,KOSDAQ,7090,0.16
323280,태성,KOSDAQ,44500,0.15
290740,액트로,KOSDAQ,16160,0.15
329180,HD현대중공업,KOSPI,509000,0.15
002025,코오롱우,KOSPI,26700,0.14
130740,티피씨글로벌,KOSDAQ,1829,0.14
318010,팜스빌,KOSDAQ,3435,0.13
294090,이오플로우,KOSDAQ,1490,0.13
131090,시큐브,KOSDAQ,3875,0.13
055550,신한지주,KOSPI,76900,0.12
240550,동방메디컬,KOSDAQ,7810,0.11
473000,에스케이증권제12호스팩,KOSDAQ,2045,0.1
200470,에이팩트,KOSDAQ,6790,0.1
227100,프로브잇,KOSDAQ,612,0.09
009200,무림페이퍼,KOSPI,2010,0.09
049480,오픈베이스,KOSDAQ,2330,0.08
389030,지니너스,KOSDAQ,3500,0.06
046440,KG파이낸셜,KOSDAQ,4700,0.06
000087,하이트진로2우B,KOSPI,15120,0.04
373220,LG에너지솔루션,KOSPI,368500,0.03
000180,성창기업지주,KOSPI,1511,0.02
126880,제이엔케이글로벌,KOSDAQ,3830,0.02
272210,한화시스템,KOSPI,54400,0.02
197140,디지캡,KOSDAQ,2445,0.01
051630,진양화학,KOSPI,2700,-0.0
140910,에이리츠,KOSPI,3130,-0.01
179530,애드바이오텍,KOSDAQ,2030,-0.01
001810,무림SP,KOSDAQ,1496,-0.01
099390,브레인즈컴퍼니,KOSDAQ,5350,-0.01
153460,네이블,KOSDAQ,7140,-0.02
115530,씨엔플러스,KOSDAQ,337,-0.04
060560,HC홈센타,KOSDAQ,744,-0.04
000020,동화약품,KOSPI,6250,-0.04
328380,솔트웨어,KOSDAQ,822,-0.04
127710,아시아경제,KOSDAQ,1060,-0.05
032190,다우데이타,KOSDAQ,18400,-0.05
238120,얼라인드,KOSDAQ,3870,-0.07
322310,오로스테크놀로지,KOSDAQ,25400,-0.07
36328K,티와이홀딩스우,KOSPI,4400,-0.07
014910,성문전자,KOSPI,1518,-0.07
078160,메디포스트,KOSDAQ,18190,-0.1
024740,한일단조,KOSDAQ,2150,-0.11
017250,인터엠,KOSDAQ,1009,-0.11
014100,메디앙스,KOSDAQ,1785,-0.12
048770,TPC로보틱스,KOSDAQ,3040,-0.12
03481K,해성산업1우,KOSDAQ,9980,-0.12
037710,광주신세계,KOSPI,31650,-0.12
047050,포스코인터내셔널,KOSPI,49600,-0.13
023960,에쓰씨엔지니어링,KOSPI,1300,-0.13
041830,인바디,KOSDAQ,32750,-0.13
140520,대창스틸,KOSDAQ,2155,-0.14
029780,삼성카드,KOSPI,55900,-0.15
025980,아난티,KOSDAQ,7800,-0.16
005290,동진쎄미켐,KOSDAQ,36650,-0.16
900290,GRT,KOSDAQ,3110,-0.17
007330,푸른저축은행,KOSDAQ,9730,-0.17
077360,덕산하이메탈,KOSDAQ,6090,-0.17
100030,인지소프트,KOSDAQ,19980,-0.17
003535,한화투자증권우,KOSPI,7980,-0.18
019180,티에이치엔,KOSPI,7950,-0.19
083470,이엠앤아이,KOSDAQ,798,-0.19
45226K,한화갤러리아우,KOSPI,7770,-0.19
473950,에스케이증권제13호스팩,KOSDAQ,2030,-0.19
004490,세방전지,KOSPI,62800,-0.2
448730,삼성FN리츠,KOSPI,4710,-0.2
002100,경농,KOSPI,9310,-0.21
088800,에이스테크,KOSDAQ,2925,-0.22
001450,현대해상,KOSPI,30800,-0.25
113810,디젠스,KOSDAQ,787,-0.26
002030,아세아,KOSPI,326500,-0.26
043090,더테크놀로지,KOSDAQ,380,-0.26
065650,하이퍼코퍼레이션,KOSDAQ,2005,-0.27
238490,힘스,KOSDAQ,3515,-0.27
034020,두산에너빌리티,KOSPI,75300,-0.27
247660,나노씨엠에스,KOSDAQ,5240,-0.28
008970,KBI동양철관,KOSPI,1717,-0.28
024890,대원화성,KOSPI,725,-0.28
38380K,LX홀딩스1우,KOSPI,8900,-0.29
278650,HLB바이오스텝,KOSDAQ,1454,-0.29
123700,SJM,KOSPI,3755,-0.29
037350,성도이엔지,KOSDAQ,6010,-0.29
039420,케이엘넷,KOSDAQ,2875,-0.3
018310,삼목에스폼,KOSDAQ,19700,-0.3
015260,에이엔피,KOSPI,430,-0.31
166090,하나머티리얼즈,KOSDAQ,43100,-0.31
005935,삼성전자우,KOSPI,89200,-0.32
274400,이노시뮬레이션,KOSDAQ,4200,-0.32
001795,대한제당우,KOSPI,2535,-0.32
049630,재영솔루텍,KOSDAQ,4510,-0.32
222160,NPX,KOSDAQ,8040,-0.33
010140,삼성중공업,KOSPI,24100,-0.33
025530,SJM홀딩스,KOSPI,3750,-0.34
234300,에스트래픽,KOSDAQ,3500,-0.34
001067,JW중외제약2우B,KOSPI,60700,-0.36
143540,영우디에스피,KOSDAQ,949,-0.36
082740,한화엔진,KOSPI,42950,-0.36
073570,리튬포어스,KOSDAQ,903,-0.37
039340,한국경제TV,KOSDAQ,5560,-0.38
241790,티이엠씨씨엔에스,KOSDAQ,6610,-0.39
475660,에스켐,KOSDAQ,5550,-0.39
034830,한국토지신탁,KOSPI,1259,-0.4
053620,태양,KOSDAQ,6510,-0.4
361670,삼영에스앤씨,KOSDAQ,3595,-0.4
219550,디와이디,KOSDAQ,876,-0.4
004080,신흥,KOSPI,13990,-0.4
478560,블랙야크아이앤씨,KOSDAQ,3565,-0.42
069510,에스텍,KOSDAQ,14570,-0.43
35320K,대덕전자1우,KOSPI,14640,-0.45
316140,우리금융지주,KOSPI,28000,-0.45
051390,YW,KOSDAQ,3920,-0.46
001065,JW중외제약우,KOSPI,29400,-0.46
000400,롯데손해보험,KOSPI,1739,-0.46
031820,아이티센씨티에스,KOSPI,592,-0.46
277410,인산가,KOSDAQ,1217,-0.47
009580,무림P&P,KOSPI,2530,-0.47
005710,대원산업,KOSDAQ,14160,-0.47
150900,파수,KOSDAQ,4415,-0.48
381620,제닉스로보틱스,KOSDAQ,12580,-0.48
089470,HDC현대EP,KOSPI,4290,-0.48
037070,파세코,KOSDAQ,7930,-0.49
007590,동방아그로,KOSPI,6000,-0.5
015760,한국전력,KOSPI,47200,-0.5
069730,DSR제강,KOSPI,3840,-0.52
035150,백산,KOSPI,13060,-0.52
029480,광무,KOSDAQ,2190,-0.53
090430,아모레퍼시픽,KOSPI,119500,-0.53
017800,현대엘리베이터,KOSPI,88300,-0.54
224060,더코디,KOSDAQ,2550,-0.55
079650,서산,KOSDAQ,1425,-0.58
136410,아셈스,KOSDAQ,9990,-0.59
101240,씨큐브,KOSDAQ,4215,-0.59
472230,에스케이증권제11호스팩,KOSDAQ,2045,-0.6
000760,이화산업,KOSPI,14220,-0.61
226340,본느,KOSDAQ,650,-0.62
472220,신영스팩10호,KOSDAQ,2185,-0.63
466100,클로봇,KOSDAQ,63000,-0.63
035250,강원랜드,KOSPI,18950,-0.64
059270,해성에어로보틱스,KOSDAQ,9520,-0.64
340930,유일에너테크,KOSDAQ,1367,-0.64
106190,하이텍팜,KOSDAQ,12020,-0.65
361390,제노코,KOSDAQ,17880,-0.66
168360,펨트론,KOSDAQ,15090,-0.66
035810,이지홀딩스,KOSDAQ,4475,-0.66
064240,홈캐스트,KOSDAQ,1851,-0.66
119850,지엔씨에너지,KOSDAQ,30900,-0.67
054620,APS,KOSDAQ,4060,-0.67
029460,케이씨,KOSPI,25500,-0.69
006920,모헨즈,KOSDAQ,3270,-0.7
088290,이원컴포텍,KOSDAQ,799,-0.7
067630,HLB생명과학,KOSDAQ,3875,-0.71
331920,셀레믹스,KOSDAQ,2715,-0.71
417010,나노팀,KOSDAQ,7150,-0.71
